"43","Result = 0   for( i=0 "," i<=absoluteValue(input) ","  i++) { result += I "," } return result – input","NORM","I-NEG","I-ATH","COR","CODE ","NOUT ","NIN"
"9","Let n be input.  If n > 0: return (n-1)(n-2)/2 else: return (-n)(-n - 1)/2","NORM","I-DNEG","I-ATH","COR","NIN","","","","",""
"50","(n(n-1))/2","NORM","","I-ATH","COR","NIN","","","","",""
"21","(     ((n-1)^2) + (n-1)     ) / 2","NORM","","I-ATH","COR","NIN","","","","",""
"77","(x^2 - x) / 2","NORM","","I-ATH","COR","NIN","","","","",""
"62","x * (x-1) /2","NORM","","I-ATH","COR","NIN","","","","",""
"78","x(x-1)/2","NORM","","I-ATH","COR","NIN","","","","",""
"39","Let input = n. Function calculates n(n-1)/2","NORM","","I-ATH","COR","NIN","","","","",""
"36","(1/2)(x)(x-1)","NORM","","I-ATH","COR","NIN","","","","",""
"89","a*a/2 - a/2","NORM","","I-ATH","COR","NIN","","","","",""
"18",""= x * (x-1)*0.5"","NORM","","I-ATH","COR","NIN","","","","",""
"0","Given a number n, prints out the number ((n)(n-1))/2.","NORM","","I-ATH","COR","NIN","PRINT","","","",""
"2","(input / 2) * (input) - (input / 2)","NORM","","I-ATH","COR","NIN","","","","",""
"3","Returns n*(n-1)/2.","NORM","","I-ATH","COR","NIN","","","","",""
"15","squares the input, divides that by 2 (rounds down) and then subtracts half of the original input.","NORM","","I-ATH","COR","","","","","",""
"29","Computes the triangular number of the input integer, aka n(n-1)/2","NORM","","I-ATH I-TN","COR","NIN","","","","",""
"1","The function returns 0 when the input is 0.  Otherwise, it returns f(x)  = f(x - 1) + (x - 1).","NORM","","I-R1ST I-BASE","COR","NIN NFCN","","","","",""
"55","Going in the positive direction you add to the previous direction n-1. Going in the negative direction you add negative(n) to the previous value.","NORM","I-DNEG","I-R1ST I-RBASE","COR","NIN","","","","",""
"74","0 --> 0. For integer k > 0, f(k) = f(k-1) + (k-1) For integer k < 0, f(k) = f(k+1) + |k|","NORM","","I-RBASEI-R1ST","COR","NIN NFCN ","","","","",""
"81","Given a positive integer n, calculates the sum of 0, 1, ..., n-2, n-1. Given a negative integer n, calculates the sum of 0, 1, ..., -n-1, -n.","NORM","I-DNEG","I-SDEXP I-SASC I-SBOUND","COR","NIN","","","","",""
"35","x = + is x-1 + x-2 ...+0 x=-  is abs (x+x+1+x+2+0)","NORM","I-DNEG","I-SDEXP I-SDSC I-SBOUND","COR","NIN","","","","",""
